"Guild","b1_mean","b1_sd","b1_lo","b1_hi","b1_covered","range_mean","range_lo","range_hi","range_covered","sigma_mean","sigma_lo","sigma_hi","sigma_covered","WAIC_cov","WAIC_null","Delta_WAIC","logCPO"
"Water",-1.65524789753309,0.167140719036821,-1.98283768719538,-1.32765810787079,TRUE,2.99308066293526,0.322745310971382,7.82311492622632,TRUE,0.278865142301972,0.568106777790392,2.79698318304317,FALSE,-54.9161591850052,-37.3414331002605,17.5747260847447,27.4547875412255
"Water",-1.57670924504239,0.278120431822917,-2.12181527478003,-1.03160321530475,TRUE,3.2968457169724,1.5992685517523,5.40034001093565,TRUE,0.895386434478672,1.26462190070879,2.32386316527795,TRUE,-313.670681243725,-308.531491857563,5.1391893861624,156.319362079691
"Water",-1.8388184314863,0.242114544200162,-2.31335421825195,-1.36428264472065,TRUE,3.59649817746912,1.49980081232583,6.27969470825916,TRUE,0.654583893859424,1.22466355066436,2.50593190415445,TRUE,-354.698923562242,-350.202302510633,4.49662105160832,177.280312525037
"Water",-1.47537733483605,0.251847230594482,-1.96898883640739,-0.981765833264712,TRUE,3.99575783759063,1.71530630942687,6.88190116061684,TRUE,0.787797439589303,1.30969702963199,2.62333779003331,TRUE,-239.271882590581,-233.530896035771,5.74098655480975,119.568026092325
"Water",-1.68729018786723,0.314055717090907,-2.30282808250431,-1.07175229323016,TRUE,5.4633687356847,2.25387361013761,9.71422482242305,FALSE,1.03710018671521,1.50129064812168,3.11676512147179,TRUE,-309.033017515899,-304.269320207727,4.76369730817248,154.434496544171
"Water",-1.73552160604748,0.278009821596474,-2.28041084372498,-1.19063236836999,TRUE,3.77433194682221,1.42585934752954,6.93508101382226,TRUE,0.820540031111479,1.19409352545332,2.63345419816299,TRUE,-86.0854711501649,-74.0448060793433,12.0406650708216,42.967799299717
"Water",-1.74779973724698,0.254360464491819,-2.24633708674182,-1.24926238775213,TRUE,3.67965963456784,1.48240292480596,6.52045885729999,TRUE,0.738092249769877,1.21753970153173,2.55351891657375,TRUE,-209.320632787843,-202.767548369417,6.55308441842612,104.589140653133
"Water",-1.69191960180707,0.225196326863364,-2.13329629190997,-1.25054291170417,TRUE,4.42178135082319,1.04490740143111,9.64219658065648,TRUE,0.566276091889642,1.02220712256916,3.10518865459999,TRUE,-75.0825734490619,-59.0430274480336,16.0395460010283,37.5285002212711
"Water",-1.62032656642241,0.288911808161743,-2.18658330512778,-1.05406982771705,TRUE,4.03748156068259,1.8875699211406,6.7553696016987,TRUE,0.974917007972292,1.37388861307626,2.59910938625113,TRUE,-898.522850516837,-893.714296553803,4.80855396303332,448.070203371427
"Water",-1.32261403335125,0.210947191160191,-1.73606293066511,-0.909165136037392,TRUE,2.24809410479453,0.97168789383484,3.85834390722805,TRUE,0.61059122130723,0.985742305998297,1.96426676070946,TRUE,59.4715991840514,69.0848507791499,9.61325159509857,-29.8070373663
"Water",-1.83327313257916,0.320009271961665,-2.4604797803429,-1.20606648481541,TRUE,6.28065530234831,2.3147540108829,11.6962665434075,FALSE,1.0903824173118,1.52143156628318,3.41998048874662,TRUE,-446.364318236647,-434.341517342787,12.0228008938598,223.083586025105
"Water",-1.78264105314353,0.319973237137637,-2.40977707394999,-1.15550503233707,TRUE,3.77090692294586,1.90905441917561,6.04693191395819,TRUE,1.04746759865874,1.38168535462152,2.45905101898236,TRUE,-814.124135354063,-809.936498909891,4.18763644417254,405.815880241248
"Water",-1.6400576627442,0.24682118498559,-2.12381829593746,-1.15629702955095,TRUE,3.06477392423903,1.46019082932402,5.05526159936586,TRUE,0.765603982729513,1.20838356051546,2.24839089114101,TRUE,-387.047715586277,-378.992409161653,8.05530642462412,193.124849797814
"Water",-1.39820298306227,0.178173497338504,-1.74741662084528,-1.04898934527926,TRUE,2.33078496595824,1.18294225080769,3.70267793833817,TRUE,0.562158570579557,1.08763148667538,1.92423437718438,FALSE,-331.372450713161,-324.107506617121,7.26494409603981,165.565014517317
"Water",-1.51396680539077,0.277485916583524,-2.05782920811156,-0.970104402669975,TRUE,3.23768564466815,1.54850450668028,5.32363355900194,TRUE,0.867702416204772,1.24438921028763,2.30730005829366,TRUE,-145.963996971294,-144.9857192776,0.978277693694395,72.8310732942418
"Water",-1.37376966360513,0.198508750477596,-1.76283966515727,-0.984699662052993,TRUE,3.07055482343668,1.37156027221938,5.16859674077019,TRUE,0.642620008527129,1.1711363166683,2.27345480288705,TRUE,-423.293859666854,-419.422693745759,3.87116592109464,211.544912066098
"Water",-1.68288725434903,0.311861702813065,-2.29412496001997,-1.07164954867809,TRUE,3.72249440499096,1.92275675329575,5.92871480703921,TRUE,1.03403008889965,1.38663504690158,2.43489523533133,TRUE,-438.402800301482,-430.539636698911,7.86316360257126,218.425166873085
"Water",-1.58296057465832,0.222904497836173,-2.0198453624092,-1.14607578690743,TRUE,2.54916177097777,1.38779707307174,3.94099090078237,TRUE,0.704836936081232,1.17804799268609,1.98519291273729,TRUE,-514.078643463404,-512.939027074462,1.13961638894227,256.590573497916
"Water",-1.78587802910801,0.221647270455259,-2.22029869647192,-1.35145736174409,TRUE,2.89779537922646,1.19379901511085,5.06565466959031,TRUE,0.618447678385275,1.09261109966486,2.25070092850879,TRUE,-301.599398909181,-294.138154290618,7.46124461856346,150.711904443373
"Water",-1.51655434706507,0.231720275516209,-1.97071774156454,-1.0623909525656,TRUE,2.65169485019474,1.3746768583634,4.17198375345799,TRUE,0.735406065931269,1.17246614380263,2.0425434520367,TRUE,-364.706232612034,-361.992449327247,2.71378328478681,181.910006774214
"Water",-1.35158202338551,0.1490682240414,-1.643750373746,-1.05941367302502,TRUE,2.0517665286862,0.588770996479674,4.06735022353613,TRUE,0.344680751769156,0.76731414458465,2.01676727054366,FALSE,-67.5906284037529,-56.9554669193067,10.6351614844462,33.7863868618559
"Water",-1.18869257782762,0.187357320678848,-1.55590617859809,-0.821478977057159,TRUE,2.90999504423589,1.21192738374041,5.09074615945366,TRUE,0.556673636596597,1.10087573492216,2.25626819315738,FALSE,-77.3584061302694,-74.6628360610478,2.69557006922169,38.6529544718253
"Water",-1.43818248820862,0.267177352187378,-1.96184047598065,-0.914524500436586,TRUE,3.97789380239214,1.82396757436275,6.70259903941712,TRUE,0.887934154656198,1.35054343668123,2.58893782069348,TRUE,-370.775821900305,-363.463188762623,7.31263313768233,185.150161643919
"Water",-1.52573444692498,0.216394421185586,-1.94985971890412,-1.10160917494584,TRUE,2.42553119902874,1.23714419982128,3.85919790712549,TRUE,0.702407976352736,1.11226984128011,1.96448413257157,TRUE,-286.564666113049,-282.182076230651,4.38258988239841,142.989813913343
"Water",-1.94906945895263,0.258940643851318,-2.45658379503483,-1.44155512287043,TRUE,3.13483245326735,1.71500367767482,4.84620907934576,TRUE,0.750264321638077,1.3095814895129,2.20141070210576,TRUE,-1116.80141428841,-1108.35949583489,8.44191845352157,555.855545974254
"Water",-1.27635540599295,0.281059332336204,-1.82722157489078,-0.725489237095116,TRUE,3.38618144223839,1.54992735213359,5.69060845342295,TRUE,0.953291718883892,1.24496078337174,2.38549962343802,TRUE,-33.7398751472279,-29.5276026723509,4.21227247487703,16.7149122690731
"Water",-1.59175557680666,0.259150990284358,-2.0996821843219,-1.08382896929143,TRUE,3.5717964590487,1.79118517838163,5.75656252765392,TRUE,0.848004367215245,1.33835166469117,2.39928375305088,TRUE,-542.51518925816,-537.522155898859,4.99303335930074,270.791222394652
"Water",-1.81337129783315,0.253149006406218,-2.30953423311144,-1.31720836255487,TRUE,2.82432296758021,1.34822578596488,4.65250802256539,TRUE,0.707738355376718,1.16113125268631,2.15696732069946,TRUE,-308.937927179513,-308.788034549856,0.149892629657359,154.252075923381
"Water",-1.87784971881496,0.24422127048797,-2.35651461323,-1.39918482439993,TRUE,3.83601803285252,1.55310228630906,6.82868818852494,TRUE,0.731791749418275,1.24623524517206,2.61317588166678,TRUE,-827.445779422791,-818.986746861321,8.45903256147051,413.53107977122
"Water",-1.44673584674909,0.29962248715132,-2.03398513052399,-0.859486562974187,TRUE,3.38323128409993,1.82797909003548,5.26252856168129,TRUE,1.09074192621091,1.35202776969834,2.29402017464566,TRUE,-841.88782080081,-844.514043796251,-2.62622299544125,415.24881314754
"Water",-1.21910571212805,0.267683027254715,-1.74375480481994,-0.694456619436151,TRUE,3.6849498405965,1.48743444546151,6.49570284933542,TRUE,0.854107283467969,1.21960421672833,2.54866687688592,TRUE,37.0835211373906,41.3420259853195,4.2585048479289,-18.5883674217382
"Water",-1.44724212397645,0.234833553155772,-1.90750743052334,-0.986976817429566,TRUE,3.30331795172772,1.29662135211077,5.9129025086658,TRUE,0.77365942443384,1.13869282605572,2.43164604921559,TRUE,-314.070462882815,-317.394949083662,-3.32448620084688,156.899773448512
