"rep","config","strategy","int_strat","n_enc","elapsed","beta1_mean","beta1_sd","beta1_lo","beta1_hi","range_mean","range_lo","range_hi","sigma_mean","sigma_lo","sigma_hi"
15,"Simplified Laplace","simplified.laplace","eb",334,3.97000000000025,-2.0445168151443,0.255569321147363,-2.54542348014649,-1.54361015014212,4.02776489620365,1.48644329147334,7.42203356577258,0.715456411395535,0.360124120696609,1.02387065702444
15,"Full Laplace, eb (main)","laplace","eb",334,4.22000000000025,-2.0445166594645,0.255569215555379,-2.5454231175102,-1.5436102014188,4.02777034879898,1.48644006190378,7.42206003324156,0.715456875166851,0.360123805459552,1.02387214342278
15,"Full Laplace, grid","laplace","grid",334,5.1899999999996,-2.057058239578,0.272195535946709,-2.62195895320242,-1.54570821208942,4.02776489620365,1.48644329147334,7.42203356577258,0.715456411395535,0.360124120696609,1.02387065702444
16,"Gaussian","gaussian","eb",324,4.42000000000007,-2.03505473632806,0.350246533482315,-2.7215253276634,-1.34858414499272,4.22701978716192,1.75232984782088,7.31962152038533,1.14799646873475,0.537666051995497,1.67157500640964
16,"Simplified Laplace","simplified.laplace","eb",324,4.38000000000011,-2.03505515947675,0.350246699060072,-2.72152607533853,-1.34858424361497,4.22701735673862,1.7523325903468,7.3196060747128,1.14799569506751,0.537666435223693,1.67157259198854
16,"Full Laplace, eb (main)","laplace","eb",324,4.1899999999996,-2.03505473632806,0.350246533482315,-2.7215253276634,-1.34858414499272,4.22701978716192,1.75232984782088,7.31962152038533,1.14799646873475,0.537666051995497,1.67157500640964
16,"Full Laplace, grid","laplace","grid",324,5.23999999999978,-2.05519704692648,0.374763983113336,-2.84291250122699,-1.36012620304466,4.22702205172646,1.75232620857735,7.31963048145371,1.14799670407966,0.537664827911381,1.67157620223984
17,"Gaussian","gaussian","eb",344,4.3799999999992,-1.89260506166619,0.255851440731529,-2.39406467089267,-1.39114545243971,3.79942358177396,1.61388620746921,6.60863680320646,0.722761992176746,0.396682510795303,1.00634266311864
17,"Simplified Laplace","simplified.laplace","eb",344,3.9399999999996,-1.89260505605732,0.255851414423766,-2.39406461372153,-1.3911454983931,3.79942096208263,1.61388961691975,6.60862425629244,0.722761695797833,0.396682903548639,1.00634178366267
17,"Full Laplace, eb (main)","laplace","eb",344,4.17000000000007,-1.89260507124858,0.25585145915569,-2.39406471658575,-1.39114542591141,3.79942225050991,1.61388767025322,6.60863060122688,0.722761909332713,0.396682691450845,1.00634231255949
